,ci_test_results,z_test_results,z_test_p_values,mean_diff
3421,True,False,0.8074,-0.2
3422,False,True,0.0041,-3.6
3423,False,True,0.0,-11.8
3424,True,False,0.0727,-4.6
3425,True,False,0.2184,1.2
3426,True,False,0.8035,0.4
3427,True,False,0.8701,0.3
3428,True,False,0.9539,-0.0
3429,True,False,0.1033,2.4
3430,True,True,0.0265,-2.6
3431,False,True,0.0011,-24.5
3432,True,False,0.2682,1.8
3433,False,True,0.0167,-1.7
3434,True,False,0.3306,0.7
3435,True,False,0.1371,2.1
3436,True,False,0.9418,0.1
3437,True,False,0.3121,0.9
3438,True,False,0.1626,2.9
3439,True,False,0.2375,2.4
3440,True,False,0.5497,0.6
3441,False,True,0.0,-7.4
3442,True,False,0.1951,-0.9
3443,True,True,0.0066,-3.8
3444,True,False,0.5071,-1.5
3445,False,True,0.0,-9.9
3446,True,False,0.8381,0.1
3447,True,False,0.3344,1.9
3448,True,False,0.3598,-1.1
3449,True,True,0.047,-1.4
3450,False,True,0.0,4.4
3451,False,True,0.0,-59.7
3452,False,True,0.0,-5.3
3453,True,False,0.5588,0.6
3454,True,False,0.7097,1.0
3455,True,False,0.0875,2.1
3456,False,True,0.0001,82.9
3457,True,False,0.4601,1.9
3458,True,False,0.11,-1.6
3459,True,False,0.0963,3.0
3460,False,True,0.0,89.9
3461,True,False,0.0809,3.6
3462,True,False,0.6795,-0.8
3463,True,False,0.2082,-1.2
3464,True,False,0.204,-2.3
3465,True,True,0.0057,3.6
3466,True,False,0.9546,-0.1
3467,True,False,0.5778,-0.5
3468,True,False,0.3961,-1.5
3469,True,False,0.5384,0.8
3470,False,True,0.0,-5.6
3471,True,False,0.9566,0.4
3472,True,False,0.7555,0.4
3473,True,False,0.1729,-1.4
3474,True,False,0.1628,1.7
3475,False,True,0.0,-22.9
3476,True,True,0.0179,3.1
3477,True,False,0.2768,0.6
3478,False,True,0.0,-3.7
3479,True,False,0.7937,0.3
3480,True,False,0.1053,-1.5
3481,True,False,0.745,1.0
3482,True,False,0.1175,1.2
3483,False,True,0.0,-6.6
3484,True,False,0.9621,0.0
3485,True,False,0.3503,1.0
3486,True,False,0.8772,-0.2
3487,False,True,0.0011,-2.9
3488,True,True,0.0073,-1.5
3489,True,False,0.3287,1.0
3490,True,False,0.188,1.8
3491,False,True,0.0,-7.6
3492,True,False,0.5689,-1.0
3493,True,False,0.1366,2.7
3494,True,False,0.3956,-0.9
3495,True,False,0.7732,0.6
3496,True,False,0.8357,-0.1
3497,True,False,0.9605,-0.0
3498,True,False,0.6492,0.7
3499,True,False,0.5723,0.5
3500,True,False,0.947,-0.1
3501,True,False,0.8577,0.3
3502,True,False,0.6905,0.4
3503,False,True,0.0006,-1.7
3504,False,True,0.0,4.3
3505,False,True,0.0024,-5.0
3506,True,False,0.1517,-2.2
3507,False,True,0.0019,-12.0
3508,True,False,0.1851,-2.0
3509,True,False,0.9544,0.1
3510,True,False,0.0503,-3.4
3511,False,True,0.003,26.2
3512,False,True,0.0031,-8.0
3513,True,False,0.6633,1.0
3514,True,False,0.3999,1.4
3515,False,True,0.0,-21.8
3516,True,False,0.3414,0.6
3517,False,True,0.0,35.7
3518,True,False,0.9356,0.1
3519,True,False,0.315,1.0
3520,True,False,0.6982,1.1
3521,True,False,0.3052,0.6
3522,True,False,0.0631,-3.0
3523,True,False,0.6159,-0.8
3524,False,True,0.0,-3.2
3525,True,True,0.0312,7.1
3526,True,False,0.1084,-1.1
3527,True,True,0.0346,-0.5
3528,False,True,0.0,-17.6
3529,True,False,0.7705,-0.3
3530,False,True,0.0002,-5.7
3531,True,False,0.1304,2.7
3532,True,False,0.2819,1.4
3533,True,False,0.3322,-1.0
3534,True,False,0.2084,9.8
3535,True,False,0.3931,-0.9
3536,False,True,0.0,-11.0
3537,False,True,0.0,-8.0
3538,True,False,0.3143,-0.2
3539,False,True,0.0,6.5
3540,True,False,0.0912,2.4
3541,True,False,0.9777,-0.0
3542,True,False,0.1451,1.2
3543,True,False,0.8288,-0.4
3544,True,False,0.3737,-1.5
3545,True,False,0.1836,4.2
3546,True,False,0.1794,4.0
3547,False,True,0.0,-258.1
3548,True,False,0.3325,1.4
3549,True,False,0.7804,-1.2
3550,True,False,0.8341,-0.2
3551,True,False,0.1005,1.5
3552,False,True,0.0,26.2
3553,True,False,0.4034,0.8
3554,True,False,0.2397,1.7
3555,True,False,0.072,3.9
3556,True,True,0.0145,-5.1
3557,False,True,0.0064,3.6
3558,True,False,0.0552,-3.8
3559,True,False,0.065,-0.5
3560,True,False,0.4043,0.7
3561,True,False,0.9788,0.0
3562,True,False,0.3303,1.5
3563,True,True,0.0108,-5.3
3564,True,False,0.8359,0.1
3565,True,False,0.51,1.0
3566,True,False,0.2541,-1.6
3567,True,False,0.2932,-4.8
3568,True,False,0.8942,-0.2
3569,True,False,0.3104,-8.9
3570,True,False,0.8429,0.4
3571,False,True,0.0259,-3.8
3572,True,False,0.1006,3.3
3573,True,True,0.0104,-2.8
3574,True,False,0.2583,-0.7
3575,True,False,0.5447,1.0
3576,False,True,0.0042,3.2
3577,True,False,0.5692,-1.7
3578,False,True,0.0,-32.8
3579,True,False,0.278,-2.5
3580,True,False,0.0631,1.1
3581,True,False,0.1927,-1.7
3582,True,True,0.0127,5.2
3583,True,False,0.4814,-1.2
3584,True,False,0.4995,0.3
3585,True,False,0.6793,-0.7
3586,True,True,0.0435,-2.7
3587,True,False,0.1927,-1.3
3588,True,False,0.7551,-0.2
3589,True,False,0.2292,-1.0
3590,True,False,0.993,0.0
3591,True,False,0.3793,-0.7
3592,True,False,0.9816,-0.1
3593,True,False,0.1452,2.5
3594,True,False,0.511,2.3
3595,True,False,0.1548,-1.6
3596,True,False,0.1149,-1.7
3597,False,True,0.0333,4.4
3598,True,False,0.6111,-0.6
3599,True,True,0.0366,1.8
3600,True,False,0.4868,1.1
3601,True,False,0.9784,-0.0
3602,True,False,0.6133,0.6
3603,True,False,0.3984,0.9
3604,True,False,0.3154,-1.8
3605,False,True,0.0,40.7
3606,True,False,0.3375,1.2
3607,True,False,0.3226,0.5
3608,True,False,0.9731,0.0
3609,True,False,0.9427,0.0
3610,True,False,0.0954,-4.7
3611,True,False,0.8899,-0.2
3612,True,False,0.9471,-0.0
3613,True,False,0.2724,0.3
3614,True,False,0.5241,-1.1
3615,False,True,0.0001,-4.4
3616,True,False,0.3082,-1.1
3617,False,True,0.0,-33.2
3618,False,True,0.0,-14.3
3619,True,False,0.882,0.4
3620,True,False,0.087,2.8
3621,True,False,0.0853,2.6
3622,True,False,0.2345,-1.9
3623,True,False,0.6381,0.6
3624,True,False,0.5858,0.5
3625,True,False,0.1547,1.8
3626,False,True,0.0028,-4.8
3627,True,False,0.796,0.2
3628,False,True,0.0,-37.4
3629,False,True,0.0005,-10.5
3630,True,False,0.5376,0.8
3631,True,False,0.8444,0.2
3632,True,False,0.7882,0.4
3633,True,False,0.8467,0.1
3634,False,True,0.0,-9.1
3635,False,True,0.0,-7.9
3636,False,True,0.0,-35.8
3637,False,True,0.0,-16.6
3638,True,False,0.8122,0.3
3639,False,True,0.0,-361.3
3640,True,False,0.3866,1.4
3641,False,True,0.0,-33.0
3642,True,False,0.5019,0.6
3643,True,False,0.2044,-1.9
3644,True,False,0.1152,2.8
3645,True,False,0.7805,-2.7
3646,True,True,0.0177,-2.5
3647,False,True,0.0,-59.2
3648,True,False,0.7695,0.6
3649,True,True,0.0351,-2.7
3650,False,True,0.0,-10.8
3651,True,False,0.9053,-0.3
3652,True,False,0.7409,-2.2
3653,True,False,0.6062,-0.4
3654,False,True,0.0,-55.4
3655,True,False,0.4757,1.7
3656,True,False,0.1941,-1.9
3657,True,False,0.5207,0.7
3658,True,False,0.98,0.0
3659,True,False,0.8496,0.4
3660,True,False,0.436,-0.5
3661,True,False,0.373,1.6
3662,True,False,0.3949,-0.7
3663,True,False,0.9331,-0.0
3664,True,False,0.0613,-0.9
3665,True,False,0.0715,2.9
3666,True,False,0.1069,-2.9
3667,True,False,0.1254,1.6
3668,False,True,0.0,-3.8
3669,True,False,0.2958,1.3
3670,True,False,0.3712,-0.9
3671,True,False,0.0502,1.1
3672,True,False,0.981,0.0
3673,True,False,0.1189,-13.1
3674,True,False,0.694,0.2
3675,False,True,0.0003,6.8
3676,False,True,0.0041,-29.0
3677,True,False,0.7766,0.1
3678,True,False,0.3155,0.9
3679,True,False,0.1112,6.1
3680,True,False,0.0947,1.7
3681,True,False,0.7498,-0.3
3682,True,False,0.6137,-0.4
3683,True,False,0.1573,1.0
3684,False,True,0.0,-31.8
3685,True,False,0.9511,-0.0
3686,True,False,0.1612,-2.6
3687,True,False,0.2177,-0.9
3688,True,False,0.4786,-0.8
3689,False,True,0.0004,-18.0
3690,True,False,0.308,0.9
3691,False,True,0.0035,2.9
3692,True,False,0.4042,0.8
3693,True,False,0.5066,-0.8
3694,True,True,0.0062,1.7
3695,True,True,0.013,-4.2
3696,True,False,0.2638,0.8
3697,True,False,0.3019,1.3
3698,True,False,0.4216,1.5
3699,True,False,0.2324,-1.5
3700,True,False,0.1445,1.6
3701,True,False,0.5631,1.0
3702,False,True,0.0081,-5.9
3703,True,False,0.1319,-2.7
3704,False,True,0.0042,-4.8
3705,False,True,0.0,79.9
3706,True,False,0.0661,1.7
3707,True,False,0.3882,-0.5
3708,True,False,0.5493,1.2
3709,True,False,0.4367,3.0
3710,True,False,0.8216,1.2
3711,False,True,0.0,-28.0
3712,True,False,0.7359,0.4
3713,True,True,0.037,-8.4
3714,True,False,0.9488,-0.1
3715,True,True,0.0108,-18.7
3716,False,True,0.0,-16.1
3717,False,True,0.0001,-5.1
3718,True,False,0.1569,-2.1
3719,True,False,0.633,0.9
3720,False,True,0.011,-1.6
3721,True,True,0.0413,3.0
3722,True,False,0.9708,-0.1
3723,True,False,0.4503,0.8
3724,True,False,0.3574,-1.8
3725,True,True,0.042,-0.7
3726,True,False,0.2542,1.3
3727,True,False,0.0745,-1.7
3728,False,True,0.0254,1.5
3729,True,False,0.1136,-1.1
3730,True,False,0.9668,0.1
3731,True,False,0.6225,-2.6
3732,False,True,0.0007,-12.7
3733,True,False,0.2129,1.3
3734,True,False,0.2095,-71.9
3735,True,False,0.3533,0.8
3736,False,True,0.0,15.4
3737,True,False,0.8178,1.4
3738,True,False,0.8257,0.2
3739,True,False,0.6607,-0.7
3740,False,True,0.0053,-1.4
3741,True,False,0.3762,1.7
3742,True,False,0.0978,2.9
3743,True,False,0.8248,0.3
3744,True,False,0.1594,-2.4
3745,True,False,0.6095,0.5
3746,True,True,0.0219,11.9
3747,True,True,0.0104,-8.0
3748,False,True,0.0,23.5
3749,False,True,0.0,20.8
3750,True,False,0.527,0.8
3751,True,False,0.3781,2.2
3752,True,False,0.7146,-0.7
3753,True,False,0.5382,-0.6
3754,True,False,0.2933,-1.8
3755,True,False,0.2739,1.0
3756,True,False,0.9821,0.0
3757,True,False,0.3596,2.1
3758,True,False,0.1986,2.9
3759,True,False,0.3238,-1.5
3760,True,False,0.6345,15.2
3761,True,False,0.1637,-1.7
3762,True,False,0.1077,1.5
3763,True,False,0.1981,2.6
3764,True,False,0.2105,-2.7
3765,True,False,0.6933,0.6
3766,True,False,0.2733,1.6
3767,True,False,0.2868,2.1
3768,False,True,0.0039,9.6
3769,True,True,0.0131,-5.2
3770,True,True,0.0316,-2.9
3771,True,False,0.5967,0.9
3772,True,False,0.6406,-0.4
3773,False,True,0.0029,-48.4
3774,False,True,0.0,-5.4
3775,True,False,0.33,-0.8
3776,True,False,0.3585,-1.2
3777,True,True,0.04,-5.3
3778,True,False,0.5023,-0.5
3779,True,False,0.7033,0.5
3780,True,True,0.036,-1.8
3781,False,True,0.0035,-5.9
3782,True,False,0.2206,1.0
3783,True,False,0.1419,1.2
3784,True,False,0.0906,2.4
3785,True,False,0.5816,-1.1
3786,True,False,0.5378,-0.4
3787,True,False,0.9282,0.1
3788,True,False,0.4762,-1.6
3789,True,False,0.2146,-12.6
3790,True,False,0.4637,0.9
3791,True,False,0.8973,-0.3
3792,True,False,0.3492,-1.6
3793,True,False,0.3074,2.9
3794,True,False,0.6262,-0.7
3795,True,False,0.0943,3.0
3796,True,False,0.5197,-2.6
3797,True,False,0.6165,0.7
3798,True,False,0.9933,0.0
3799,True,False,0.6473,0.6
3800,True,False,0.4437,-0.8
3801,True,False,0.4304,-0.8
3802,True,False,0.3465,1.1
3803,True,False,0.1696,1.7
3804,False,True,0.0,17.6
3805,True,False,0.6044,-0.8
3806,True,False,0.6597,2.5
3807,True,False,0.8857,0.2
3808,True,True,0.0157,-7.8
3809,True,False,0.7188,-0.4
3810,False,True,0.0,274.1
3811,False,True,0.0,-16.7
3812,False,True,0.0027,7.0
3813,True,False,0.2411,-1.5
3814,True,False,0.0776,1.5
3815,False,True,0.0,17.3
3816,True,False,0.6604,-0.9
3817,True,False,0.3229,-1.0
3818,False,True,0.004,-4.1
3819,True,False,0.8041,0.2
3820,True,True,0.0292,-1.5
3821,True,False,0.7159,0.2
3822,True,False,0.2118,-2.5
3823,False,True,0.004,-3.8
3824,True,False,0.1323,1.8
3825,True,False,0.3903,-1.0
3826,True,False,0.2569,-1.2
3827,True,True,0.0275,-1.1
3828,True,False,0.5347,0.8
3829,True,False,0.5703,0.4
3830,True,False,0.8636,-0.1
3831,True,False,0.6313,0.6
3832,True,False,0.7963,-0.2
3833,False,True,0.0,-11.1
3834,True,False,0.0569,-2.4
3835,True,False,0.0928,-1.1
3836,True,False,0.5754,1.1
3837,True,False,0.5081,-1.2
3838,True,False,0.3096,-0.8
3839,False,True,0.0,9.9
3840,True,False,0.4132,-1.0
3841,True,False,0.3148,1.9
3842,False,True,0.0002,19.8
3843,False,True,0.0,-65.4
3844,False,True,0.0,-134.9
3845,False,True,0.0,-19.6
3846,False,True,0.0,-14.1
3847,False,True,0.0,-8.2
3848,True,True,0.0217,-2.5
3849,True,False,0.6655,0.7
3850,True,False,0.6241,0.5
3851,True,False,0.4054,1.4
3852,True,False,0.8839,-0.3
3853,True,False,0.698,0.6
3854,False,True,0.0,-7.5
3855,True,False,0.9569,-0.0
3856,True,False,0.9229,-0.4
3857,True,False,0.8652,-0.3
3858,True,False,0.0857,2.3
3859,True,False,0.1997,-1.8
3860,True,False,0.1164,0.8
3861,True,False,0.2222,-4.6
3862,False,True,0.0,-29.4
3863,True,False,0.2232,-1.2
3864,True,False,0.1063,-1.6
3865,False,True,0.0028,-5.0
3866,True,False,0.3184,2.5
3867,True,False,0.5765,-1.0
3868,False,True,0.0,25.5
3869,True,False,0.837,-0.2
3870,True,True,0.022,2.3
3871,True,True,0.0119,-9.9
3872,True,False,0.3095,1.6
3873,True,True,0.0212,2.8
3874,True,False,0.8869,0.2
3875,True,False,0.1546,-20.0
3876,True,False,0.0794,4.2
3877,True,False,0.8399,-0.4
3878,True,True,0.0201,3.6
3879,True,False,0.0679,-3.2
3880,True,False,0.5589,-1.3
3881,False,True,0.0,-11.8
3882,True,False,0.502,0.5
3883,True,False,0.256,-1.4
3884,True,False,0.1589,2.2
3885,True,False,0.6055,0.9
3886,False,True,0.0,-14.2
3887,True,False,0.4908,-0.2
3888,False,True,0.0,-4.6
3889,False,True,0.0,-4.9
3890,True,False,0.252,-1.0
3891,True,False,0.6835,0.2
3892,True,False,0.9778,-0.0
3893,False,True,0.0,-29.6
3894,False,True,0.0,-5.4
3895,True,False,0.2763,1.6
3896,True,False,0.0776,1.6
3897,True,False,0.2711,7.2
3898,True,False,0.9221,0.7
3899,True,False,0.4032,0.8
3900,True,False,0.4718,-0.3
3901,True,False,0.7011,-0.9
3902,True,True,0.0436,-3.1
3903,True,False,0.0679,-5.7
3904,True,False,0.1959,-1.5
3905,True,False,0.2338,0.9
3906,True,False,0.3286,0.6
3907,True,True,0.0348,3.9
3908,True,False,0.0679,2.8
3909,True,False,0.6899,-0.6
3910,True,False,0.3983,-0.5
3911,True,False,0.9162,-0.1
3912,True,True,0.0092,-2.5
3913,True,False,0.0722,-1.5
3914,True,False,0.8182,0.2
3915,True,False,0.0887,1.1
3916,False,True,0.0005,-7.8
3917,True,False,0.618,-0.5
3918,True,False,0.111,2.1
3919,True,False,0.9933,-0.0
3920,False,True,0.0,-5.9
3921,True,False,0.9682,-0.1
3922,False,True,0.0,-33.2
3923,False,True,0.0011,8.8
3924,True,False,0.4098,1.1
3925,False,True,0.0,13.2
3926,True,False,0.3752,0.8
3927,True,False,0.2945,1.1
3928,False,True,0.0006,-6.4
3929,True,False,0.5991,0.8
3930,True,False,0.8473,-0.1
3931,True,False,0.0764,2.5
3932,True,False,0.412,-0.8
3933,True,False,0.1961,-1.6
3934,True,False,0.1537,-1.5
3935,False,True,0.0,-10.3
3936,True,False,0.6198,-0.4
3937,True,False,0.4239,-0.8
3938,False,True,0.0,-11.7
3939,True,False,0.5487,-0.3
3940,True,False,0.2915,-0.5
3941,True,False,0.0687,1.2
3942,True,False,0.172,-1.3
3943,False,True,0.0,-6.7
3944,True,False,0.3679,-1.0
3945,True,False,0.8954,-0.2
3946,True,False,0.1726,-1.7
3947,True,True,0.0306,-2.8
3948,True,True,0.0198,2.0
3949,False,True,0.0075,-3.9
3950,True,False,0.401,1.4
3951,False,True,0.0,-94.6
3952,False,True,0.0049,-5.1
3953,True,False,0.899,1.1
3954,True,False,0.5998,0.6
3955,False,True,0.0,-6.0
3956,True,False,0.6457,0.2
3957,True,False,0.998,-0.0
3958,True,False,0.8641,-0.1
3959,False,True,0.0,-9.1
3960,True,False,0.2864,-0.8
3961,True,False,0.0719,-2.1
3962,True,False,0.5716,1.0
3963,True,False,0.5988,-0.6
3964,False,True,0.0022,5.5
3965,True,False,0.346,0.9
3966,False,True,0.0,516.1
3967,False,True,0.0005,-3.9
3968,True,False,0.7395,-0.6
3969,True,False,0.7725,-0.4
3970,False,True,0.001,-5.7
3971,False,True,0.0,-143.5
3972,True,False,0.7469,-0.2
3973,True,False,0.0607,-2.4
3974,False,True,0.0,-111.3
3975,False,True,0.0,-13.7
3976,True,False,0.767,0.2
3977,True,False,0.3678,2.2
3978,True,True,0.0128,-4.6
3979,True,False,0.6654,0.4
3980,True,False,0.3617,1.6
3981,True,False,0.054,-3.0
3982,True,False,0.1569,2.0
3983,False,True,0.0,5.8
3984,True,False,0.4208,1.8
3985,True,False,0.1265,-1.5
3986,True,False,0.7383,-0.7
3987,False,True,0.0,-11.3
3988,True,False,0.0543,2.1
3989,True,False,0.3599,-1.2
3990,True,False,0.9928,0.0
3991,True,False,0.3663,-1.3
3992,True,False,0.6339,1.4
3993,False,True,0.0,5.5
3994,True,False,0.4876,-0.7
3995,False,True,0.0027,-3.1
3996,False,True,0.0,-4.4
3997,True,False,0.401,-0.9
3998,False,True,0.0,426.0
3999,False,True,0.0347,1.0
4000,True,False,0.2977,1.8
4001,True,False,0.138,1.2
4002,True,False,0.6265,1.0
4003,True,False,0.3128,-1.5
4004,True,False,0.2703,1.3
4005,True,False,0.0628,3.2
4006,True,False,0.4116,-1.3
4007,True,False,0.1289,2.9
4008,False,True,0.0045,6.3
4009,False,True,0.0001,10.5
4010,False,True,0.0,-84.6
4011,False,True,0.0022,33.1
4012,True,False,0.1059,2.4
4013,True,False,0.9352,0.2
4014,True,False,0.1019,-2.9
4015,True,False,0.2227,-0.9
4016,False,True,0.0344,3.0
4017,True,False,0.1135,-3.1
4018,True,False,0.0662,7.9
4019,True,False,0.1674,-2.3
4020,True,False,0.2562,-2.5
4021,False,True,0.0002,-14.3
4022,True,False,0.1874,1.8
4023,True,False,0.1774,2.1
4024,True,False,0.1118,2.7
4025,True,False,0.6631,-0.4
4026,True,False,0.7722,0.5
4027,True,False,0.4119,-1.0
4028,True,False,0.3181,-1.7
4029,True,False,0.2129,1.3
4030,False,True,0.0,-6.8
4031,True,False,0.225,-1.0
4032,False,True,0.0,-86.7
4033,True,False,0.8546,-0.4
4034,True,False,0.4603,-1.2
4035,True,False,0.6941,-0.6
4036,True,False,0.3518,1.5
4037,True,False,0.9075,-0.3
4038,True,False,0.5422,0.4
4039,True,False,0.9795,-0.0
4040,False,True,0.0,-499.8
4041,True,False,0.1123,-0.5
4042,True,False,0.0615,-1.8
4043,True,False,0.5392,0.9
4044,True,False,0.7271,-0.2
4045,False,True,0.0,-38.3
4046,False,True,0.0,8.5
4047,True,False,0.131,1.7
4048,False,True,0.0023,6.4
4049,False,True,0.0003,7.6
4050,True,False,0.45,0.4
4051,True,False,0.9608,0.1
4052,True,False,0.4358,0.7
4053,True,False,0.2865,1.1
4054,True,False,0.0643,1.4
4055,True,False,0.1068,-1.8
4056,True,False,0.9739,0.0
4057,True,False,0.5266,0.4
4058,True,True,0.0081,-5.8
4059,True,False,0.3468,2.0
4060,False,True,0.0,-18.7
4061,True,True,0.0121,-3.1
4062,True,False,0.0661,0.5
4063,False,True,0.0,-11.2
4064,False,True,0.0075,-2.6
4065,True,False,0.129,3.0
4066,True,False,0.8919,0.2
4067,False,True,0.0095,3.8
4068,True,True,0.0237,-7.1
4069,False,True,0.0006,2.0
4070,True,False,0.2795,-1.1
4071,True,False,0.4942,0.7
4072,True,False,0.972,-0.1
4073,True,False,0.0706,2.5
4074,False,True,0.0,-6.9
4075,True,False,0.3542,2.9
4076,True,False,0.6635,-1.3
4077,True,True,0.037,2.7
4078,True,False,0.8494,-0.2
4079,True,False,0.4598,1.1
4080,True,False,0.4293,1.5
4081,True,False,0.3218,-0.9
4082,True,False,0.6218,0.6
4083,True,False,0.1988,-2.4
4084,True,False,0.2868,-12.9
4085,True,False,0.8646,0.2
4086,True,False,0.5797,-0.2
4087,True,False,0.5071,-1.3
4088,True,True,0.0296,-2.5
4089,True,False,0.1143,3.0
4090,True,False,0.8822,-0.3
4091,True,False,0.2966,-0.8
4092,False,True,0.0025,-0.9
4093,True,False,0.4065,-0.7
4094,True,False,0.1074,-0.7
4095,True,False,0.368,0.4
4096,True,False,0.6274,0.2
4097,True,False,0.1835,-1.3
4098,True,False,0.5572,-3.3
4099,True,False,0.7074,0.7
4100,False,True,0.0,8.4
4101,True,False,0.8699,-0.2
4102,True,False,0.5592,-0.9
4103,True,False,0.2687,-2.4
4104,True,False,0.2626,1.8
4105,True,False,0.2219,-2.0
4106,True,False,0.8915,0.1
4107,True,False,0.7691,0.1
4108,True,False,0.8406,0.4
4109,True,False,0.3541,-0.3
4110,True,False,0.6201,0.9
4111,True,False,0.0594,1.8
4112,True,False,0.133,1.5
4113,False,True,0.0,-87.3
4114,True,False,0.2588,1.6
4115,True,False,0.542,-0.4
4116,True,False,0.1398,-0.8
4117,False,True,0.0,9.3
4118,True,False,0.5754,-0.4
4119,False,True,0.0017,-16.9
4120,False,True,0.0,-15.6
4121,True,False,0.9088,0.1
4122,True,False,0.2269,2.2
4123,True,False,0.282,1.6
4124,True,False,0.0881,-1.4
4125,True,False,0.1774,-1.5
4126,True,False,0.1769,2.3
4127,True,False,0.1065,3.8
4128,True,False,0.4755,-0.9
4129,True,False,0.8574,0.4
4130,True,True,0.0367,-1.0
4131,False,True,0.0,-8.1
4132,True,False,0.639,-0.2
4133,True,False,0.0839,-3.4
4134,True,False,0.2447,-2.2
4135,True,False,0.064,-1.7
4136,True,False,0.1495,-1.8
4137,True,False,0.3449,9.2
4138,True,True,0.0401,1.9
4139,False,True,0.0,99.3
4140,False,True,0.0,39.0
4141,False,True,0.0,-9.3
4142,False,True,0.0,-10.7
4143,False,True,0.0002,-5.1
4144,True,False,0.3225,-1.6
4145,False,True,0.0027,3.3
4146,False,True,0.0,-38.1
4147,False,True,0.0006,-129.3
4148,True,False,0.4018,-2.6
4149,True,False,0.1289,2.1
4150,False,True,0.0,-7.3
4151,True,False,0.8754,-0.3
4152,False,True,0.0021,-14.9
4153,False,True,0.0,18.1
4154,False,True,0.0,34.3
4155,False,True,0.0023,-3.2
4156,True,False,0.7063,0.8
4157,False,True,0.0,-28.1
4158,True,False,0.9223,0.2
4159,True,False,0.5668,0.7
4160,True,False,0.2939,0.8
4161,False,True,0.0,-54.8
4162,True,False,0.6434,0.6
4163,True,False,0.7498,-0.3
4164,True,True,0.0388,-1.0
4165,True,False,0.5444,0.6
4166,True,False,0.3038,-0.5
4167,True,False,0.326,-0.8
4168,True,False,0.151,2.5
4169,True,False,0.5794,0.3
4170,True,False,0.5018,2.1
4171,True,False,0.6872,-1.4
4172,True,False,0.3306,0.5
4173,True,False,0.6456,0.9
4174,True,True,0.0063,-3.7
4175,True,False,0.6277,-0.3
4176,True,False,0.9201,0.2
4177,True,False,0.0837,5.7
4178,True,False,0.1053,0.7
4179,True,False,0.4994,1.1
4180,True,False,0.241,-1.6
4181,True,False,0.8418,0.3
4182,False,True,0.0,-2.5
4183,True,False,0.0619,2.7
4184,True,False,0.5951,-0.7
4185,True,False,0.5661,-0.2
4186,True,False,0.1586,1.8
4187,True,False,0.1818,-3.5
4188,True,False,0.2875,1.9
4189,True,True,0.016,-19.7
4190,True,True,0.0295,-5.1
4191,True,False,0.9932,-0.0
4192,False,True,0.0,-8.4
4193,True,False,0.7587,0.2
4194,True,False,0.9193,0.1
4195,True,False,0.8524,-0.2
4196,False,True,0.0,-51.2
4197,True,False,0.1904,-2.7
4198,True,False,0.8521,-0.2
4199,False,True,0.0,-14.1
4200,True,False,0.634,-0.8
4201,True,False,0.4026,1.8
4202,True,False,0.3309,1.3
4203,False,True,0.0,-822.8
4204,True,True,0.0098,1.9
4205,True,False,0.3053,-2.0
4206,True,False,0.711,-0.5
4207,True,False,0.5586,-1.0
4208,True,False,0.9999,0.0
4209,True,True,0.0174,3.4
4210,False,True,0.0023,-12.2
4211,True,False,0.9665,0.1
4212,True,False,0.7472,-0.5
4213,False,True,0.0039,-3.6
4214,True,False,0.9776,-0.0
4215,True,False,0.9114,-0.2
4216,False,True,0.0007,-3.0
4217,True,True,0.0152,-3.6
4218,True,False,0.3116,-1.1
4219,True,False,0.8589,0.9
4220,True,True,0.0296,-1.9
4221,False,True,0.0,-3.0
4222,True,False,0.8293,-0.1
4223,True,False,0.4612,-19.7
4224,False,True,0.0042,13.8
4225,True,False,0.4516,3.5
4226,True,False,0.4434,1.3
4227,True,False,0.6957,-0.5
4228,True,False,0.2733,0.7
4229,True,False,0.9947,0.0
4230,True,False,0.1364,-0.5
4231,True,False,0.7308,-0.5
4232,True,False,0.3348,-1.9
4233,False,True,0.0,-9.9
4234,True,False,0.7218,0.3
4235,True,False,0.7661,0.4
4236,False,True,0.0,4.0
4237,True,False,0.2529,1.4
4238,True,True,0.0152,4.4
4239,False,True,0.0051,4.5
4240,True,False,0.1276,1.5
4241,True,False,0.9746,0.0
4242,True,False,0.1922,1.6
4243,False,True,0.0,6.8
4244,True,False,0.0619,-0.5
4245,True,False,0.1685,2.0
4246,True,False,0.9597,-0.1
4247,True,False,0.9582,0.1
4248,True,False,0.1018,1.7
4249,True,False,0.5811,-0.5
4250,True,False,0.2082,2.3
4251,True,False,0.546,-1.3
4252,True,False,0.3203,-2.2
4253,True,False,0.533,-0.7
4254,False,True,0.0,-43.3
4255,True,False,0.2425,1.4
4256,False,True,0.0,-18.0
4257,False,True,0.0,30.3
4258,False,True,0.0021,3.1
4259,True,True,0.0486,5.2
4260,True,False,0.599,-0.5
4261,True,False,0.21,1.7
4262,True,False,0.1405,-2.1
4263,True,False,0.8772,-0.3
4264,False,True,0.0,-9.0
4265,True,False,0.149,2.1
4266,True,False,0.9551,-0.1
4267,True,False,0.2685,1.0
4268,False,True,0.0061,-3.3
4269,True,True,0.0355,-4.0
4270,True,False,0.1638,77.5
4271,True,False,0.8579,0.2
4272,True,False,0.6726,0.6
4273,False,True,0.0,-36.6
4274,True,False,0.8512,-0.3
4275,True,False,0.1687,-1.6
4276,True,True,0.0064,-11.5
