,ci_test_results,z_test_results,z_test_p_values,mean_diff
206,True,False,0.7954,0.6
207,True,False,0.8171,0.6
208,False,True,0.0001,5.1
209,True,False,0.1514,-1.9
210,False,True,0.0033,2.5
211,True,False,0.8458,-0.3
212,False,True,0.0,-11.4
213,True,True,0.0385,2.3
214,False,True,0.0,-5.2
215,True,True,0.0255,-2.7
216,True,False,0.0651,-1.8
217,True,False,0.0758,1.0
218,True,False,0.8924,0.1
219,True,False,0.52,-0.2
220,True,True,0.0113,-2.6
221,False,True,0.0,-73.2
222,True,False,0.2596,2.0
223,True,True,0.042,-1.8
224,True,True,0.0114,-3.3
225,True,False,0.1178,3.3
226,False,True,0.0013,38.8
227,True,True,0.016,-1.5
228,True,False,0.5375,0.9
229,True,False,0.5985,0.6
230,True,False,0.6162,-0.5
231,False,True,0.0,-117.1
232,False,True,0.0105,-2.0
233,True,True,0.0181,3.2
234,True,False,0.5689,0.5
235,True,False,0.789,-0.2
236,True,False,0.9077,0.2
237,False,True,0.0,-9.3
238,False,True,0.0122,-2.5
239,True,False,0.4789,0.7
240,True,False,0.1719,-2.5
241,True,True,0.0412,-21.0
242,True,False,0.6018,0.6
243,True,False,0.8474,-0.3
244,True,False,0.9927,-0.0
245,True,False,0.6089,-2.9
246,True,False,0.0827,1.8
247,True,False,0.72,-0.5
248,False,True,0.0,-9.3
249,True,False,0.093,2.2
250,True,False,0.1216,3.7
251,True,False,0.2446,3.3
252,False,True,0.0,-23.5
253,True,False,0.2759,-10.6
254,True,False,0.2934,1.4
255,True,False,0.4605,-0.5
256,True,False,0.2871,1.5
257,True,False,0.6811,0.4
258,True,False,0.8566,-0.3
259,True,False,0.2187,1.1
260,False,True,0.0,-2.9
261,False,True,0.0,-58.2
262,True,False,0.5777,1.2
263,True,False,0.5634,1.0
264,True,False,0.2043,1.9
265,True,False,0.2416,1.1
266,True,False,0.2206,2.7
267,True,False,0.0601,-2.1
268,False,True,0.0005,-5.8
269,True,True,0.0081,3.3
270,True,False,0.2372,-39.8
271,False,True,0.0,-3.3
272,False,True,0.0,-34.9
273,True,True,0.0178,-3.2
274,True,False,0.0908,-1.6
275,False,True,0.0,-8.4
276,True,False,0.3911,0.7
277,True,False,0.1028,2.1
278,True,True,0.0143,-2.9
279,True,False,0.2705,1.8
280,True,False,0.1274,2.1
281,True,False,0.1278,0.7
282,True,False,0.3594,0.9
283,True,False,0.3864,-0.6
284,True,False,0.764,-3.4
285,True,False,0.5839,0.7
286,False,True,0.0,4.8
287,True,False,0.5259,0.1
288,True,True,0.0131,20.3
289,True,True,0.0086,-17.4
290,True,False,0.5115,-0.8
291,True,False,0.9181,-0.2
292,True,False,0.6386,-0.7
